duration_ms,danceability,speechiness,popularity
186120,0.447,0.156,58
307973,0.745,0.164,58
188000,0.547,0.0478,69
217013,0.778,0.318,62
251600,0.469,0.0369,61
220157,0.765,0.471,61
196625,0.549,0.0556,62
218040,0.765,0.0888,62
207507,0.652,0.052,63
236032,0.537,0.188,61
271293,0.773,0.0777,57
211800,0.683,0.0353,62
225254,0.596,0.0326,59
196436,0.625,0.365,65
231693,0.757,0.0355,62
208000,0.637,0.336,65
171413,0.813,0.107,67
179147,0.54,0.266,57
226625,0.519,0.043,60
266288,0.657,0.382,66
258667,0.568,0.103,67
235800,0.632,0.0338,57
245773,0.649,0.132,63
196133,0.549,0.343,64
231681,0.442,0.0365,57
236946,0.66,0.071,61
240000,0.85,0.278,60
386612,0.64,0.0619,60
260773,0.499,0.135,60
182657,0.707,0.0499,70
169604,0.797,0.0694,64
258453,0.639,0.0352,63
170667,0.35,0.131,60
166493,0.594,0.116,56
215573,0.785,0.151,60
225866,0.732,0.0568,62
158571,0.879,0.0602,59
213716,0.845,0.0332,62
182900,0.684,0.0296,59
280878,0.927,0.0921,66
256027,0.845,0.153,65
191750,0.472,0.0614,58
254627,0.677,0.16,63
311000,0.611,0.201,64
164333,0.65,0.0405,64
203095,0.463,0.0723,57
291667,0.703,0.0415,62
208329,0.828,0.196,58
268693,0.698,0.0358,59
199627,0.748,0.0526,62
181733,0.583,0.34,63
262680,0.531,0.21,61
212947,0.595,0.0577,60
269815,0.845,0.0802,63
210400,0.598,0.0825,62
212153,0.593,0.029,72
137638,0.434,0.0506,57
223053,0.638,0.182,62
242293,0.586,0.319,73
266987,0.477,0.208,61
214851,0.799,0.204,61
156547,0.547,0.308,62
185307,0.796,0.0742,65
220218,0.662,0.0293,60
223373,0.581,0.0506,63
226288,0.922,0.096,61
273880,0.303,0.0339,62
217027,0.554,0.0532,58
209096,0.575,0.0365,63
216983,0.635,0.0462,60
202755,0.871,0.0613,61
287320,0.77,0.272,63
178973,0.775,0.191,59
266282,0.646,0.0311,59
175867,0.746,0.307,65
276067,0.576,0.084,60
227907,0.819,0.122,64
215045,0.622,0.22,59
285587,0.713,0.483,67
245067,0.745,0.0259,69
224147,0.567,0.105,66
178107,0.725,0.357,58
261773,0.453,0.0252,60
181773,0.457,0.0376,55
185947,0.564,0.0685,57
346133,0.753,0.0317,65
229990,0.631,0.0378,66
259762,0.337,0.218,64
177320,0.775,0.0649,62
199904,0.74,0.0472,62
158421,0.764,0.159,58
265107,0.703,0.0693,65
213333,0.507,0.0473,62
127000,0.711,0.116,58
183280,0.721,0.0397,61
223987,0.711,0.219,66
264471,0.57,0.307,57
299827,0.694,0.0917,61
264933,0.808,0.0805,61
241589,0.653,0.03,57
232840,0.766,0.147,57
201511,0.593,0.113,64
214600,0.669,0.0457,58
220347,0.822,0.275,61
226864,0.904,0.121,66
231893,0.763,0.0577,66
250707,0.7,0.0466,63
190549,0.707,0.107,65
188832,0.689,0.0394,64
212720,0.678,0.0375,55
261573,0.77,0.159,61
216160,0.708,0.0415,59
193767,0.647,0.0862,70
175653,0.569,0.482,65
226909,0.572,0.431,63
293133,0.609,0.0808,60
418507,0.619,0.0744,62
